context
The cafeteria is in spandana block
The library is open from 8 AM to 10 PM.
The cafeteria is in spandana block
Admissions are open from September 1st.
Connect to Campus-WiFi using your ID.
Our college name is Jawaharlal Technological University Hyderabad
Bonafides can be taken in academic section
Transcripts can be taken at counters
Any Certificates can be applied in JNTUH Student Management Portal
there are separate hostels for UG and PG
Indoor stadium is near at the ground
First years classrooms are in CRC
Each semester has 10 subjects
Ther is basketball court available
Gym is available for boys in the morning and for girls in the evening
Cafeteria also provides Breakfast and lunch

Cafeteria capacity is 100
